Gene_Symbol
BLM
TWNK
CDC7
CDK3
CDT1
CHAF1B
CHTF18
DDX11
DNA2
E2F2
E4F1
HDAC1
HINFP
HSPD1
MCM10
MCM2
MCM3
MCM4
NASP
ORC2
ORC4
PKMYT1
POLD1
POLE
POLE2
POLG2
PPAT
PRIM1
RAD9A
RBBP4
RBBP6
RFC5
RMI2
SET
SIN3A
STAG2
TOP1
USP37
